	1970	1980	1990	2000	2010	2013	Bundesland	
Wesel	45.338	56.776	59.631	62.063	60.750	60.070	Nordrhein-Westfalen	
144.	02240018 - Garbsen - Kirche Altgarbsen - 2005.JPG							
Garbsen	26.444	57.522	60.776	63.269	61.790	59.912	Niedersachsen	
145.	Bergheim Innenstadt.JPG							
Bergheim	10.493	54.064	58.146	63.526	62.129	59.272	Nordrhein-Westfalen	
146.	Unna Alter Markt.jpg							
Unna	50.299	56.416	61.552	71.375	66.502	58.856	Nordrhein-Westfalen	
147.	St.Salvator.GD.1.JPG							
Schwäbisch Gmünd	44.385	56.901	60.081	62.188	59.654	58.564	Baden-Württemberg	
148.	Frankfurt Oder Oderbruecke.jpg							
Frankfurt (Oder)	62.433	80.414	86.131	72.131	60.330	58.018	Brandenburg	
149.	St. Columban Friedrichshafen.jpg							
Friedrichshafen	43.651	52.080	54.129	57.213	59.002	57.961	Baden-Württemberg	
150.	Salmen.jpg							
Offenburg	33.066	50.486	52.964	56.891	59.215	57.448	Baden-Württemberg	
151.	Blick ueber Stralsund 2009.jpg							
Stralsund	71.489	74.947	72.780	60.663	57.670	57.301	Mecklenburg-Vorpommern	
152.	Chemiepark Knapsack.jpg							
Hürth	52.235	50.794	50.808	53.261	57.922	57.230	Nordrhein-Westfalen	
153.	Haus Arndt Langenfeld.JPG							
Langenfeld (Rheinland)	44.217	47.027	53.455	58.429	59.160	56.982	Nordrhein-Westfalen	
154.	Rubenowplatz Greifswald.jpg							
Greifswald	47.017	61.278	66.251	54.236	54.610	56.445	Mecklenburg-Vorpommern	
155.	Eisenbahnweserbrücke.jpg							
Hameln	47.201	58.390	58.539	58.807	57.771	56.260	Niedersachsen	
156.	Burg und St. Lucia in Stolberg (Rhld.).jpg							
Stolberg (Rheinland)	39.704	57.550	57.231	58.682	57.474	56.191	Nordrhein-Westfalen	
157.	Werner Heisenberg Gymnasium Goeppingen 2006.JPG							
Göppingen	48.028	53.347	54.957	57.371	56.819	55.571	Baden-Württemberg	
158.	Euskirchen dicker turm.jpg							
Euskirchen	42.278	44.811	49.654	53.680	55.620	55.558	Nordrhein-Westfalen	
159.	Eschweiler Indestraße.JPG							
Eschweiler	38.666	53.478	54.675	55.090	55.505	55.026	Nordrhein-Westfalen	
160.	Der-maxplatz-neu-ulm.jpg							
Neu-Ulm	27.925	47.415	46.264	50.188	53.504	54.969	Bayern	
161.	Hilden SWA17.JPG							
Hilden	50.228	53.343	54.782	56.412	55.441	54.737	Nordrhein-Westfalen	
162.	Schloss Pesch 3.JPG							
Meerbusch	46.904	49.876	52.104	55.175	54.318	54.389	Nordrhein-Westfalen	
163.	Hattinger-altstadt2n.jpg							
Hattingen	59.392	57.373	58.241	58.329	55.510	54.358	Nordrhein-Westfalen	
164.	Sankt Augustiner Zentrum.jpg							
Sankt Augustin	31.892	48.580	51.886	55.248	55.442	54.285	Nordrhein-Westfalen	
165.	Goerlitz frauenturm bzw dicker turm.jpg							
Görlitz	87.492	81.399	72.237	61.599	55.596	54.042	Sachsen	
166.	Menden-20070426 165-DSC 6856-Rententurm.jpg							
Menden (Sauerland)	30.109	53.337	56.527	59.239	55.496	53.354	Nordrhein-Westfalen	
167.	JunkerburgGeyen.jpg							
Pulheim	11.323	44.870	49.353	53.158	53.769	53.109	Nordrhein-Westfalen	
168.	Baden-Baden Stiftskirche.JPG							
Baden-Baden	37.185	49.142	51.849	52.627	54.445	53.012	Baden-Württemberg	
169.	Marktdreieck.jpg							
Waiblingen	24.195	45.114	48.387	51.362	52.900	52.845	Baden-Württemberg	
170.	1503085-Neustadt-adW-01.jpg							
Neustadt an der Weinstraße	50.952	50.328	51.988	53.658	52.855	52.400	Rheinland-Pfalz	
171.	2007-09-16BadHomburgGebäude14.jpg							
Bad Homburg vor der Höhe	42.066	51.221	51.820	52.838	52.229	52.379	Hessen	
172.	Teilansicht Nordhorn.jpg							
Nordhorn	44.470	48.492	49.359	51.968	53.052	52.298	Niedersachsen	
173.	Lingen HalleIV Unterfuehrung.jpg							
Lingen (Ems)	31.522	44.097	49.137	51.684	51.177	52.158	Niedersachsen	
174.	114111-BS-Rathaus.JPG							
Bad Salzuflen	49.571	51.248	53.771	55.028	53.893	52.121	Nordrhein-Westfalen	
175.	Schweinfurt-001.jpg							
Schweinfurt	58.178	52.445	54.483	54.325	53.415	51.851	Bayern	
176.	Herman-Löns-Schule Langenhagen IMG 4890.jpg							
Langenhagen	35.474	46.764	47.432	49.432	52.583	51.847	Niedersachsen	
177.	Old town hall ahlen.jpg							
Ahlen	49.970	54.192	54.169	55.631	53.414	51.766	Nordrhein-Westfalen	
178.	August II-Marktplatz Wolfenbuettel.jpg							
Wolfenbüttel	40.527	50.256	52.032	54.690	53.427	51.569	Niedersachsen	
179.	Wetzlarskyline.jpg							
Wetzlar	36.922	51.997	51.737	52.608	51.499	51.135	Hessen	
180.	Linden-Theater Frechen.jpg							
Frechen	31.337	43.483	44.360	47.019	49.939	51.080	Nordrhein-Westfalen	
181.	GoslarInnenstadt.jpg							
Goslar	40.051	52.556	46.251	44.278	40.989	50.681	Niedersachsen	
182.	Schloss Neersen Festspiele.jpg							
Willich	37.747	39.115	42.416	50.300	51.949	50.599	Nordrhein-Westfalen	
183.	IbbenbuerenCoalmineMainEntrance.jpg							
Ibbenbüren	17.561	42.323	44.643	48.843	51.522	50.438	Nordrhein-Westfalen	
184.	Emden Rathaus 001.jpg							
Emden	48.595	51.186	50.735	50.963	51.616	49.790	Niedersachsen	
185.	SpeyerCathedralSonnenbrücke2.JPG							
Speyer	42.184	43.864	46.553	49.776	49.857	49.740	Rheinland-Pfalz	
186.	Bahnhof Gummersbach.jpg							
Gummersbach	44.880	48.660	50.965	53.311	51.309	49.665	Nordrhein-Westfalen	
187.	Passau Innpromenade.jpg							
Passau	30.758	50.698	50.328	50.536	50.594	49.454	Bayern	
188.	Ravensburg Blaserturm Waaghaus Rathaus.jpg							
Ravensburg	32.045	42.269	45.650	47.525	49.774	49.098	Baden-Württemberg	
189.	Erftstadt-Rathaus-Liblar-1978.JPG							
Erftstadt	36.578	43.208	45.403	50.689	50.553	49.037	Nordrhein-Westfalen	
190.	Wolfenbüttel Gunzelin.jpg							
Peine	31.205	47.591	46.654	49.494	48.743	48.377	Niedersachsen	
191.	Hapag Halle Cuxhaven.jpg							
Cuxhaven	47.185	58.666	56.090	53.391	50.492	48.325	Niedersachsen	
192.	Burghof Loerrach.jpg							
Lörrach	33.995	41.355	42.500	45.412	48.380	48.307	Baden-Württemberg	
193.	Bad Oeynhausen2.jpg							
Bad Oeynhausen	13.948	44.339	46.475	50.007	48.300	48.294	Nordrhein-Westfalen	
194.	Alte Nahebrücke, Bad Kreuznach, Rhineland-Palatinate, Germany. Pic 01.jpg							
Bad Kreuznach	42.258	41.143	40.950	43.164	43.703	48.229	Rheinland-Pfalz	
195.	Bergkamen Schacht 3.jpg							
Bergkamen	44.304	47.977	49.761	52.905	50.587	48.209	Nordrhein-Westfalen	
196.	Kleve neuer tiergarten.jpg							
Kleve	43.640	44.026	45.963	48.662	49.477	48.172	Nordrhein-Westfalen	
197.	Elmshorn Kölln-Werke.jpg							
Elmshorn	41.262	41.439	43.689	47.391	48.924	47.667	Schleswig-Holstein	
198.	FT Erkenbertmuseum.jpg							
Frankenthal (Pfalz)	41.493	43.725	46.966	47.763	46.793	47.332	Rheinland-Pfalz	
199.	Schloß Rastatt.jpg							
Rastatt	29.915	37.297	42.241	46.437	47.554	47.110	Baden-Württemberg	
200.	Rheda Wassermühle.jpg							
Rheda-Wiedenbrück	36.943	37.944	38.327	44.932	47.316	46.876	Nordrhein-Westfalen	
201.	Wittenberg Market square.jpg							
Wittenberg, Lutherstadt	47.323	53.870	49.682	48.972	49.496	46.729	Sachsen-Anhalt	
202.	Böblingen	36.127	41.505	44.903	45.838	46.488	46.714	Baden-Württemberg
203.	Soest	37.671	40.791	42.602	48.520	48.579	46.699	Nordrhein-Westfalen
204.	Herzogenrath	9.034(a)	42.722	44.284	46.853	46.708	46.546	Nordrhein-Westfalen
205.	Bornheim	31.420	34.293	35.858	45.407	48.531	46.437	Nordrhein-Westfalen
206.	Heidenheim an der Brenz	49.853	48.585	50.532	51.301	48.164	46.419	Baden-Württemberg
207.	Alsdorf	30.778	46.373	46.935	46.087	45.522	46.313	Nordrhein-Westfalen
208.	Schwerte	24.402	47.810	50.696	50.834	48.259	46.198	Nordrhein-Westfalen
209.	Gronau (Westf.)	26.482	41.209	40.687	44.860	46.553	45.998	Nordrhein-Westfalen
210.	Dülmen, Stadtansicht.jpg							
Dülmen	21.168	38.712	40.496	46.552	46.762	45.870	Nordrhein-Westfalen	
211.	Melle	16.154	40.859	41.579	45.390	46.141	45.844	Niedersachsen
212.	Freising	29.569	34.577	37.046	40.890	45.223	45.806	Bayern
212.	Hennef (Sieg)	26.053	29.224	32.521	42.711	46.114	45.806	Nordrhein-Westfalen
214.	Singen (Hohentwiel)	41.427	43.529	43.689	44.478	45.826	45.717	Baden-Württemberg
215.	Dachau	32.929	33.950	35.387	38.398	42.506	45.621	Bayern
216.	Neunkirchen	43.411	51.992	51.536	50.882	47.398	45.602	Saarland
217.	Straubing	37.826	42.674	41.715	44.014	44.450	45.502	Bayern
