	1970	1980	1990	2000	2010	2013	Bundesland	
531.	Werder (Havel)	9.765	10.404	10.722	15.115	23.017	23.838	Brandenburg
532.	Idstein	9.213(a)	18.473	20.241	22.611	23.252	23.836	Hessen
533.	Sonneberg	29.794	28.750	26.568	24.837	22.356	23.796	Thüringen
534.	Harsewinkel	10.415	18.403	20.135	23.639	24.072	23.789	Nordrhein-Westfalen
535.	Weingarten	18.181	21.991	22.987	23.491	23.875	23.694	Baden-Württemberg
536.	Lüdinghausen	12.824	17.968	20.152	22.873	24.195	23.672	Nordrhein-Westfalen
537.	Hann. Münden	18.550	25.539	25.762	25.657	24.525	23.668	Niedersachsen
538.	Syke	7.116(a)	18.292	19.674	23.565	24.341	23.666	Niedersachsen
539.	Stutensee25	6.120(a)	18.404	20.064	21.375	23.583	23.646	Baden-Württemberg
540.	Schleswig	32.270	29.798	26.998	25.093	24.058	23.635	Schleswig-Holstein
541.	Meckenheim	7.997(a)	16.751	22.814	25.319	24.241	23.628	Nordrhein-Westfalen
542.	Geretsried	16.438	20.034	21.866	23.056	23.306	23.610	Bayern
543.	Dillenburg	10.130	23.485	24.399	25.092	23.608	23.602	Hessen
544.	Ellwangen (Jagst)	13.049	21.242	22.594	24.655	24.589	23.555	Baden-Württemberg
545.	Varel	12.812	24.279	24.076	24.771	24.587	23.554	Niedersachsen
546.	Arnstadt	28.990	29.965	28.743	27.220	25.000	23.539	Thüringen
546.	Ronnenberg	16.652	19.039	21.025	23.200	23.239	23.539	Niedersachsen
548.	Walsrode	14.318	22.650	22.750	24.053	23.978	23.353	Niedersachsen
549.	Warburg	9.360(a)	21.927	22.562	24.204	23.436	23.302	Nordrhein-Westfalen
550.	Korbach	22.178	22.486	22.171	24.515	23.581	23.264	Hessen
551.	Unterhaching(*)	14.460	17.041	18.313	20.427	22.774	23.217	Bayern
552.	Sehnde	5.823(a)	18.178	17.614	20.759	22.944	23.181	Niedersachsen
553.	Glauchau	32.168	29.376	25.734	27.285	24.442	23.131	Sachsen
554.	Gardelegen	13.266	12.780	13.078	12.206	14.315	23.110	Sachsen-Anhalt
555.	Haren (Ems)	7.204(a)	16.982	18.875	22.316	22.999	23.090	Niedersachsen
555.	Isernhagen(*) 26	5.120(a)	19.164	21.485	22.309	22.927	23.090	Niedersachsen
557.	Netphen	19.861	22.453	23.293	25.034	24.101	23.051	Nordrhein-Westfalen
558.	Alfter(*)	14.651	16.270	17.677	20.907	22.820	23.003	Nordrhein-Westfalen
559.	Helmstedt	27.326	26.718	27.034	26.101	23.937	22.934	Niedersachsen
560.	Herzogenaurach	12.466	16.989	20.464	23.108	23.050	22.918	Bayern
561.	Wallenhorst(*)	2.890(a)	18.218	21.604	23.293	23.706	22.860	Niedersachsen
562.	Bedburg	13.147	18.783	21.524	24.237	24.647	22.846	Nordrhein-Westfalen
563.	Burg	29.990	28.461	26.353	22.951	24.163	22.828	Sachsen-Anhalt
564.	Waldshut-Tiengen	10.389	21.410	21.913	22.070	22.859	22.808	Baden-Württemberg
565.	Öhringen	11.446	16.211	18.535	22.005	22.762	22.777	Baden-Württemberg
566.	Rudolstadt	31.683	31.368	30.423	27.528	23.762	22.739	Thüringen
567.	Mosbach	13.615	23.224	24.650	25.051	24.490	22.735	Baden-Württemberg
568.	Moormerland(*) 28	4.416(a)	17.868	19.285	22.382	22.456	22.667	Niedersachsen
569.	Starnberg	10.544	17.420	20.687	21.945	23.148	22.650	Bayern
570.	Herdecke	20.815	24.009	26.184	25.928	24.428	22.572	Nordrhein-Westfalen
571.	Jüchen(*)	5.734(a)	20.878	21.007	22.710	22.648	22.556	Nordrhein-Westfalen
572.	Waldkraiburg	16.724	21.695	24.709	24.335	23.892	22.525	Bayern
573.	Bad Mergentheim	12.477	19.121	21.567	22.181	22.394	22.470	Baden-Württemberg
574.	Spremberg	22.871	23.181	24.217	26.230	24.373	22.431	Brandenburg
575.	Wertheim	12.009	19.972	21.627	24.337	23.552	22.415	Baden-Württemberg
576.	Vreden	17.150	18.361	19.421	21.718	22.551	22.389	Nordrhein-Westfalen
577.	Calw	13.020	23.165	22.668	23.391	23.230	22.374	Baden-Württemberg
578.	Osterode am Harz	16.660	28.349	27.097	25.848	23.444	22.317	Niedersachsen
579.	Freudenstadt	14.380	19.348	22.935	23.488	23.551	22.282	Baden-Württemberg
580.	Riedstadt30	5.024(a)	17.700	17.466	20.576	21.478	22.115	Hessen
581.	Gelnhausen	10.262	18.526	19.559	21.799	21.510	22.099	Hessen
582.	Vaterstetten(*) 29	8.825(a)	17.979	18.751	20.978	22.070	22.087	Bayern
583.	Husum	25.055	24.327	20.870	20.994	22.084	22.053	Schleswig-Holstein
584.	Überlingen	12.895	18.734	20.102	20.547	21.818	22.046	Baden-Württemberg
585.	Radevormwald	21.218	23.607	23.762	24.800	22.526	22.025	Nordrhein-Westfalen
586.	Zerbst/Anhalt	19.638	19.279	18.149	16.378	23.167	22.002	Sachsen-Anhalt
587.	Lengerich	21.638	20.597	21.045	22.052	22.234	21.978	Nordrhein-Westfalen
588.	Westerstede	16.651	17.391	18.659	21.417	22.003	21.919	Niedersachsen
589.	Sondershausen	22.949	23.371	23.370	23.088	23.142	21.907	Thüringen
590.	Leutkirch im Allgäu	9.899(a)	19.900	20.722	21.988	21.902	21.837	Baden-Württemberg
591.	Eckernförde	21.299	23.081	22.426	23.304	22.614	21.792	Schleswig-Holstein
592.	Apolda	29.003	28.965	26.507	25.899	23.131	21.738	Thüringen
593.	Karben	11.131	18.052	19.958	21.380	21.717	21.716	Hessen
594.	Bad Harzburg	10.586	24.924	23.882	23.100	21.891	21.680	Niedersachsen
595.	Senden	7.916(a)	19.311	20.094	21.674	22.376	21.625	Bayern
596.	Stadthagen	16.574	22.704	22.778	23.802	22.272	21.594	Niedersachsen
597.	Bad Soden am Taunus	10.200	18.589	18.905	20.693	21.644	21.556	Hessen
598.	Büren	6.188(a)	17.530	18.748	22.108	21.500	21.548	Nordrhein-Westfalen
599.	Weilheim in Oberbayern	14.676	17.100	18.294	20.863	21.649	21.534	Bayern
600.	Sonthofen	16.822	20.149	20.603	21.319	20.874	21.388	Bayern
601.	Neusäß	6.500(a)	18.557	20.332	21.719	21.564	21.377	Bayern
602.	Wipperfürth	13.120	20.783	21.487	23.095	23.186	21.336	Nordrhein-Westfalen
603.	Friesoythe	6.131(a)	16.078	17.142	19.861	20.641	21.335	Niedersachsen
604.	Gersthofen	15.462	17.010	17.729	19.879	20.805	21.311	Bayern
605.	Rees	7.805(a)	17.440	18.616	21.618	22.267	21.303	Nordrhein-Westfalen
606.	Edewecht(*)	12.328	13.690	15.334	19.226	21.268	21.291	Niedersachsen
607.	Greiz	39.247	36.779	32.408	26.177	21.792	21.284	Thüringen
608.	Rastede(*)	16.662	17.453	18.526	20.008	20.817	21.259	Niedersachsen
609.	Nagold	12.488	20.334	21.505	22.661	22.542	21.241	Baden-Württemberg
610.	Bad Kissingen	12.345	22.102	21.081	21.565	20.802	21.225	Bayern
611.	Wandlitz(*)	3.284	3.031(b)	2.979(c)	4.547	21.704	21.212	Brandenburg
612.	Donaueschingen	11.680	17.762	19.341	21.160	21.128	21.190	Baden-Württemberg
613.	Xanten	15.077	15.743	16.930	20.575	21.572	21.186	Nordrhein-Westfalen
614.	Metzingen	14.433	19.473	20.754	21.608	22.035	21.172	Baden-Württemberg
615.	Halle (Westf.)	10.183	18.560	18.841	20.478	21.081	21.167	Nordrhein-Westfalen
616.	Schwetzingen	16.480	18.384	19.098	22.380	21.789	21.147	Baden-Württemberg
617.	Waldkirch	11.120	18.784	19.482	19.739	20.857	21.141	Baden-Württemberg
618.	Soltau	15.835	18.921	19.714	21.906	21.829	21.120	Niedersachsen
619.	Werdau	23.133	20.513	19.241	26.077	22.616	21.114	Sachsen
620.	Heide	22.950	21.104	20.659	20.530	20.886	21.105	Schleswig-Holstein
621.	Lindlar(*)	12.780	16.991	19.307	22.341	22.074	21.038	Nordrhein-Westfalen
622.	Büdingen	6.565(a)	17.176	18.148	20.942	21.230	20.995	Hessen
623.	Elsdorf	5.121(a)	17.495	19.944	21.692	21.193	20.991	Nordrhein-Westfalen
624.	Hockenheim	15.670	15.997	17.015	20.009	21.118	20.968	Baden-Württemberg
625.	Meiningen	25.557	25.528	25.585	22.240	21.590	20.966	Thüringen
626.	Wülfrath	23.387	20.912	21.987	22.531	21.299	20.946	Nordrhein-Westfalen
627.	Rotenburg (Wümme)	16.308	19.707	19.183	21.670	21.821	20.944	Niedersachsen
628.	Waren (Müritz)	21.306	23.326	24.102	22.044	21.051	20.940	Mecklenburg-Vorpommern
629.	Eppingen	6.708(a)	14.833	16.418	20.257	21.388	20.919	Baden-Württemberg
630.	Blieskastel	6.323(a)	22.561	22.612	23.149	21.885	20.879	Saarland
631.	Duderstadt	10.943	22.846	23.021	23.156	21.722	20.860	Niedersachsen
632.	Ottobrunn(*)	13.840	19.894	18.933	19.003	20.105	20.784	Bayern
633.	Stadtallendorf	15.832	20.243	21.136	21.656	21.247	20.763	Hessen
634.	Groß-Umstadt	8.704(a)	18.812	19.238	21.403	21.333	20.754	Hessen
635.	Versmold	7.216(a)	18.328	18.231	20.397	20.985	20.753	Nordrhein-Westfalen
636.	Blankenburg (Harz)	19.468	18.822	18.501	16.722	21.911	20.745	Sachsen-Anhalt
637.	Eschborn	11.499	17.763	18.235	19.630	20.811	20.731	Hessen
638.	Schramberg	18.936	19.157	19.086	18.883	21.242	20.716	Baden-Württemberg
639.	Fröndenberg/Ruhr	17.779	20.627	21.252	22.995	21.915	20.705	Nordrhein-Westfalen
640.	Döbeln	27.855	27.011	26.827	23.128	20.242	20.699	Sachsen
641.	Meinerzhagen	17.749	19.042	19.907	21.884	20.838	20.689	Nordrhein-Westfalen
642.	Coswig	20.276	28.734	25.855	24.035	21.297	20.560	Sachsen
642.	Aichach	7.123(a)	15.114	17.268	20.272	20.866	20.560	Bayern
644.	Puchheim	6.652(a)	17.692	19.004	19.629	19.769	20.524	Bayern
645.	Geseke	13.242	20.305	17.733	19.976	20.755	20.511	Nordrhein-Westfalen
646.	Annaberg-Buchholz	27.846	26.629	25.010	24.495	21.831	20.510	Sachsen
647.	Kitzingen	17.838	20.262	19.918	21.242	20.705	20.449	Bayern
648.	Seligenstadt	12.278	16.970	18.175	19.066	20.243	20.431	Hessen
649.	Kleinmachnow(*)	14.304	13.341	11.565	15.796	19.890	20.405	Brandenburg
650.	Neustrelitz	27.806	27.201	26.124	23.333	21.207	20.399	Mecklenburg-Vorpommern
651.	Neu Wulmstorf(*)	7.515(a)	12.691	15.466	19.898	20.846	20.384	Niedersachsen
652.	Herborn	10.287	21.502	20.909	21.380	20.595	20.366	Hessen
653.	Wittmund	6.670(a)	19.180	19.469	21.471	20.756	20.363	Niedersachsen
654.	Steinhagen(*)	8.397(a)	16.220	17.303	19.619	19.766	20.301	Nordrhein-Westfalen
655.	Traunreut	12.145	18.516	20.838	21.403	20.658	20.300	Bayern
656.	Bruchköbel	8.707(a)	17.918	18.305	20.396	20.572	20.265	Hessen
657.	Burgwedel31	5.494(a)	18.573	18.314	19.861	20.487	20.239	Niedersachsen
658.	Enger		16.133	17.194	19.963	20.010	20.228	Nordrhein-Westfalen
659.	Laupheim	14.355	14.970	16.286	18.460	19.796	20.213	Baden-Württemberg
660.	Germersheim	9.150(a)	13.347	15.277	20.134	20.588	20.201	Rheinland-Pfalz
661.	Flörsheim am Main	10.225				20.338	20.197	Hessen
662.	Wilnsdorf(*)	16.272	19.126	20.497	21.637	20.752	20.196	Nordrhein-Westfalen
663.	Waghäusel	16.574	17.123	17.848	19.632	20.620	20.195	Baden-Württemberg
664.	Bad Rappenau	5.404(a)	13.826	15.884	19.884	20.505	20.193	Baden-Württemberg
665.	Schortens	14.523	20.119	19.485	21.299	20.691	20.191	Niedersachsen
666.	Luckenwalde	29.000	27.496	25.668	22.389	20.471	20.185	Brandenburg
667.	Dillingen/Saar	11.488	20.742	21.861	21.444	20.808	20.183	Saarland
668.	Senden(*)	6.094(a)	14.428	15.341	19.562	20.778	20.142	Nordrhein-Westfalen
669.	Holzminden	24.393	22.218	21.477	21.495	20.073	20.107	Niedersachsen
670.	Gauting(*)	15.153				20.005	20.097	Bayern
671.	Torgau	21.688	21.453			19.688	20.092	Sachsen
672.	Kaltenkirchen	7.158(a)	11.319	13.547	18.081	20.000	20.080	Schleswig-Holstein
673.	Rheinstetten32	17.348	18.814	19.405	20.333	20.552	20.074	Baden-Württemberg
674.	Westoverledingen(*)	14.911	15.442	16.839	19.433	19.828	20.036	Niedersachsen
675.	Lichtenfels	11.383	20.276	20.963	21.625	20.555	20.013	Bayern
676.	Stadtlohn	15.470	16.723	17.713	20.237	20.631	20.005	Nordrhein-Westfalen
